Iteration 118, Temperature 1512022.18, New Cost 55991301.0, Current Cost 55991301.00, Best Cost 41395607.00, Elapsed Time 122.80 seconds
Iteration 119, Temperature 1496901.96, New Cost 55165715.0, Current Cost 55165715.00, Best Cost 41395607.00, Elapsed Time 123.87 seconds
Iteration 120, Temperature 1481932.94, New Cost 54165715.0, Current Cost 54165715.00, Best Cost 41395607.00, Elapsed Time 124.91 seconds
Iteration 121, Temperature 1467113.61, New Cost 53321322.0, Current Cost 53321322.00, Best Cost 41395607.00, Elapsed Time 125.94 seconds
Iteration 122, Temperature 1452442.47, New Cost 54227605.0, Current Cost 54227605.00, Best Cost 41395607.00, Elapsed Time 126.97 seconds
Iteration 123, Temperature 1437918.05, New Cost 55227605.0, Current Cost 54227605.00, Best Cost 41395607.00, Elapsed Time 128.00 seconds
Iteration 124, Temperature 1423538.87, New Cost 53231826.0, Current Cost 53231826.00, Best Cost 41395607.00, Elapsed Time 129.02 seconds
Iteration 125, Temperature 1409303.48, New Cost 54157412.0, Current Cost 54157412.00, Best Cost 41395607.00, Elapsed Time 130.05 seconds
Iteration 126, Temperature 1395210.44, New Cost 53157412.0, Current Cost 53157412.00, Best Cost 41395607.00, Elapsed Time 131.07 seconds
Iteration 127, Temperature 1381258.34, New Cost 52203740.0, Current Cost 52203740.00, Best Cost 41395607.00, Elapsed Time 132.12 seconds
Iteration 128, Temperature 1367445.76, New Cost 51305218.0, Current Cost 51305218.00, Best Cost 41395607.00, Elapsed Time 133.18 seconds
Iteration 129, Temperature 1353771.30, New Cost 52305218.0, Current Cost 52305218.00, Best Cost 41395607.00, Elapsed Time 134.31 seconds
Iteration 130, Temperature 1340233.58, New Cost 53303740.0, Current Cost 52305218.00, Best Cost 41395607.00, Elapsed Time 135.44 seconds
Iteration 131, Temperature 1326831.25, New Cost 51440647.0, Current Cost 51440647.00, Best Cost 41395607.00, Elapsed Time 136.57 seconds
Iteration 132, Temperature 1313562.94, New Cost 51829082.0, Current Cost 51829082.00, Best Cost 41395607.00, Elapsed Time 137.63 seconds
Iteration 133, Temperature 1300427.31, New Cost 52829082.0, Current Cost 51829082.00, Best Cost 41395607.00, Elapsed Time 138.68 seconds
Iteration 134, Temperature 1287423.03, New Cost 50829082.0, Current Cost 50829082.00, Best Cost 41395607.00, Elapsed Time 139.81 seconds
Iteration 135, Temperature 1274548.80, New Cost 51829082.0, Current Cost 51829082.00, Best Cost 41395607.00, Elapsed Time 140.90 seconds
Iteration 136, Temperature 1261803.32, New Cost 50829082.0, Current Cost 50829082.00, Best Cost 41395607.00, Elapsed Time 142.02 seconds
Iteration 137, Temperature 1249185.28, New Cost 51829082.0, Current Cost 50829082.00, Best Cost 41395607.00, Elapsed Time 143.14 seconds
Iteration 138, Temperature 1236693.43, New Cost 50029082.0, Current Cost 50029082.00, Best Cost 41395607.00, Elapsed Time 144.22 seconds
Iteration 139, Temperature 1224326.50, New Cost 49029082.0, Current Cost 49029082.00, Best Cost 41395607.00, Elapsed Time 145.29 seconds
Iteration 140, Temperature 1212083.23, New Cost 50029082.0, Current Cost 49029082.00, Best Cost 41395607.00, Elapsed Time 146.37 seconds
Iteration 141, Temperature 1199962.40, New Cost 48029082.0, Current Cost 48029082.00, Best Cost 41395607.00, Elapsed Time 147.44 seconds
Iteration 142, Temperature 1187962.77, New Cost 48929082.0, Current Cost 48929082.00, Best Cost 41395607.00, Elapsed Time 148.53 seconds
Iteration 143, Temperature 1176083.15, New Cost 49872014.0, Current Cost 49872014.00, Best Cost 41395607.00, Elapsed Time 149.55 seconds
Iteration 144, Temperature 1164322.31, New Cost 48929082.0, Current Cost 48929082.00, Best Cost 41395607.00, Elapsed Time 150.58 seconds
Iteration 145, Temperature 1152679.09, New Cost 49929082.0, Current Cost 48929082.00, Best Cost 41395607.00, Elapsed Time 151.61 seconds
Iteration 146, Temperature 1141152.30, New Cost 49929082.0, Current Cost 49929082.00, Best Cost 41395607.00, Elapsed Time 152.65 seconds
Iteration 147, Temperature 1129740.78, New Cost 50929082.0, Current Cost 50929082.00, Best Cost 41395607.00, Elapsed Time 153.72 seconds
Iteration 148, Temperature 1118443.37, New Cost 51894738.0, Current Cost 51894738.00, Best Cost 41395607.00, Elapsed Time 154.83 seconds
Iteration 149, Temperature 1107258.94, New Cost 52894738.0, Current Cost 51894738.00, Best Cost 41395607.00, Elapsed Time 155.89 seconds
Iteration 150, Temperature 1096186.35, New Cost 52794738.0, Current Cost 51894738.00, Best Cost 41395607.00, Elapsed Time 156.97 seconds
Iteration 151, Temperature 1085224.48, New Cost 52744738.0, Current Cost 52744738.00, Best Cost 41395607.00, Elapsed Time 158.02 seconds
Iteration 152, Temperature 1074372.24, New Cost 51744738.0, Current Cost 51744738.00, Best Cost 41395607.00, Elapsed Time 159.05 seconds
Iteration 153, Temperature 1063628.52, New Cost 52620536.0, Current Cost 51744738.00, Best Cost 41395607.00, Elapsed Time 160.11 seconds
Iteration 154, Temperature 1052992.23, New Cost 52670536.0, Current Cost 51744738.00, Best Cost 41395607.00, Elapsed Time 161.21 seconds
Iteration 155, Temperature 1042462.31, New Cost 52744738.0, Current Cost 52744738.00, Best Cost 41395607.00, Elapsed Time 162.27 seconds
Iteration 156, Temperature 1032037.69, New Cost 51744738.0, Current Cost 51744738.00, Best Cost 41395607.00, Elapsed Time 163.36 seconds
Iteration 157, Temperature 1021717.31, New Cost 52744738.0, Current Cost 52744738.00, Best Cost 41395607.00, Elapsed Time 164.49 seconds
Iteration 158, Temperature 1011500.14, New Cost 51844738.0, Current Cost 51844738.00, Best Cost 41395607.00, Elapsed Time 165.60 seconds
Iteration 159, Temperature 1001385.13, New Cost 52799008.0, Current Cost 51844738.00, Best Cost 41395607.00, Elapsed Time 166.68 seconds
Iteration 160, Temperature 991371.28, New Cost 50844738.0, Current Cost 50844738.00, Best Cost 41395607.00, Elapsed Time 167.77 seconds
Iteration 161, Temperature 981457.57, New Cost 51844738.0, Current Cost 51844738.00, Best Cost 41395607.00, Elapsed Time 168.86 seconds
Iteration 162, Temperature 971642.99, New Cost 50844738.0, Current Cost 50844738.00, Best Cost 41395607.00, Elapsed Time 169.96 seconds
Iteration 163, Temperature 961926.56, New Cost 51844738.0, Current Cost 50844738.00, Best Cost 41395607.00, Elapsed Time 171.08 seconds
Iteration 164, Temperature 952307.30, New Cost 51820536.0, Current Cost 51820536.00, Best Cost 41395607.00, Elapsed Time 172.21 seconds
Iteration 165, Temperature 942784.23, New Cost 52820536.0, Current Cost 51820536.00, Best Cost 41395607.00, Elapsed Time 173.33 seconds
Iteration 166, Temperature 933356.38, New Cost 50820536.0, Current Cost 50820536.00, Best Cost 41395607.00, Elapsed Time 174.40 seconds
Iteration 167, Temperature 924022.82, New Cost 51774806.0, Current Cost 50820536.00, Best Cost 41395607.00, Elapsed Time 175.49 seconds
Iteration 168, Temperature 914782.59, New Cost 51770536.0, Current Cost 50820536.00, Best Cost 41395607.00, Elapsed Time 176.63 seconds
Iteration 169, Temperature 905634.77, New Cost 49838228.0, Current Cost 49838228.00, Best Cost 41395607.00, Elapsed Time 177.73 seconds
Iteration 170, Temperature 896578.42, New Cost 50838228.0, Current Cost 50838228.00, Best Cost 41395607.00, Elapsed Time 178.84 seconds
Iteration 171, Temperature 887612.63, New Cost 51838228.0, Current Cost 50838228.00, Best Cost 41395607.00, Elapsed Time 179.96 seconds
Iteration 172, Temperature 878736.51, New Cost 49838228.0, Current Cost 49838228.00, Best Cost 41395607.00, Elapsed Time 181.00 seconds
Iteration 173, Temperature 869949.14, New Cost 50788228.0, Current Cost 49838228.00, Best Cost 41395607.00, Elapsed Time 182.10 seconds
Iteration 174, Temperature 861249.65, New Cost 48838228.0, Current Cost 48838228.00, Best Cost 41395607.00, Elapsed Time 183.16 seconds
Iteration 175, Temperature 852637.15, New Cost 49838228.0, Current Cost 48838228.00, Best Cost 41395607.00, Elapsed Time 184.27 seconds
Iteration 176, Temperature 844110.78, New Cost 47838228.0, Current Cost 47838228.00, Best Cost 41395607.00, Elapsed Time 185.40 seconds
Iteration 177, Temperature 835669.68, New Cost 48838228.0, Current Cost 47838228.00, Best Cost 41395607.00, Elapsed Time 186.52 seconds
Iteration 178, Temperature 827312.98, New Cost 48838228.0, Current Cost 47838228.00, Best Cost 41395607.00, Elapsed Time 187.59 seconds
Iteration 179, Temperature 819039.85, New Cost 48838228.0, Current Cost 47838228.00, Best Cost 41395607.00, Elapsed Time 188.68 seconds
Iteration 180, Temperature 810849.45, New Cost 48792498.0, Current Cost 48792498.00, Best Cost 41395607.00, Elapsed Time 189.72 seconds
Iteration 181, Temperature 802740.96, New Cost 49646170.0, Current Cost 48792498.00, Best Cost 41395607.00, Elapsed Time 190.82 seconds
Iteration 182, Temperature 794713.55, New Cost 47838228.0, Current Cost 47838228.00, Best Cost 41395607.00, Elapsed Time 191.86 seconds
Iteration 183, Temperature 786766.41, New Cost 46937176.0, Current Cost 46937176.00, Best Cost 41395607.00, Elapsed Time 192.88 seconds
Iteration 184, Temperature 778898.75, New Cost 45937176.0, Current Cost 45937176.00, Best Cost 41395607.00, Elapsed Time 193.94 seconds
Iteration 185, Temperature 771109.76, New Cost 46838228.0, Current Cost 45937176.00, Best Cost 41395607.00, Elapsed Time 194.99 seconds
Iteration 186, Temperature 763398.66, New Cost 44937176.0, Current Cost 44937176.00, Best Cost 41395607.00, Elapsed Time 196.05 seconds
Iteration 187, Temperature 755764.67, New Cost 43937176.0, Current Cost 43937176.00, Best Cost 41395607.00, Elapsed Time 197.08 seconds
