Temperature: 3288.360486, Total Cost: 49857304, Elapsed Time: 21.915036 seconds
Temperature: 3222.593277, Total Cost: 52416202, Elapsed Time: 21.989656 seconds
Temperature: 3158.141411, Total Cost: 49507646, Elapsed Time: 22.049089 seconds
Temperature: 3094.978583, Total Cost: 52883308, Elapsed Time: 22.056617 seconds
Temperature: 3033.079011, Total Cost: 52432807, Elapsed Time: 22.067165 seconds
Temperature: 2972.417431, Total Cost: 51692002, Elapsed Time: 22.126478 seconds
Temperature: 2912.969082, Total Cost: 49507646, Elapsed Time: 22.189625 seconds
Temperature: 2854.709701, Total Cost: 51723162, Elapsed Time: 22.197219 seconds
Temperature: 2797.615507, Total Cost: 51784619, Elapsed Time: 22.271922 seconds
Temperature: 2741.663196, Total Cost: 51723162, Elapsed Time: 22.353176 seconds
Temperature: 2686.829933, Total Cost: 51636573, Elapsed Time: 22.428103 seconds
Temperature: 2633.093334, Total Cost: 52069688, Elapsed Time: 22.497877 seconds
Temperature: 2580.431467, Total Cost: 52806512, Elapsed Time: 22.564007 seconds
Temperature: 2528.822838, Total Cost: 49825120, Elapsed Time: 22.624683 seconds
Temperature: 2478.246381, Total Cost: 51749548, Elapsed Time: 22.723114 seconds
Temperature: 2428.681454, Total Cost: 52204113, Elapsed Time: 22.801439 seconds
Temperature: 2380.107824, Total Cost: 52069688, Elapsed Time: 22.859806 seconds
Temperature: 2332.505668, Total Cost: 52849833, Elapsed Time: 22.925893 seconds
Temperature: 2285.855555, Total Cost: 51119825, Elapsed Time: 22.994602 seconds
Temperature: 2240.138444, Total Cost: 50748411, Elapsed Time: 23.088311 seconds
Temperature: 2195.335675, Total Cost: 52406603, Elapsed Time: 23.170315 seconds
Temperature: 2151.428961, Total Cost: 50957304, Elapsed Time: 23.247053 seconds
Temperature: 2108.400382, Total Cost: 52603832, Elapsed Time: 23.312316 seconds
Temperature: 2066.232374, Total Cost: 51801065, Elapsed Time: 23.384148 seconds
Temperature: 2024.907727, Total Cost: 52406603, Elapsed Time: 23.450921 seconds
Temperature: 1984.409572, Total Cost: 51723162, Elapsed Time: 23.527562 seconds
Temperature: 1944.721381, Total Cost: 50166153, Elapsed Time: 23.602304 seconds
Temperature: 1905.826953, Total Cost: 51033405, Elapsed Time: 23.684110 seconds
Temperature: 1867.710414, Total Cost: 50928518, Elapsed Time: 23.752663 seconds
Temperature: 1830.356206, Total Cost: 50509748, Elapsed Time: 23.827065 seconds
Temperature: 1793.749082, Total Cost: 50166153, Elapsed Time: 23.898962 seconds
Temperature: 1757.874100, Total Cost: 52432807, Elapsed Time: 23.980852 seconds
Temperature: 1722.716618, Total Cost: 52883308, Elapsed Time: 24.039915 seconds
Temperature: 1688.262286, Total Cost: 52204113, Elapsed Time: 24.050328 seconds
Temperature: 1654.497040, Total Cost: 49507646, Elapsed Time: 24.108899 seconds
Temperature: 1621.407099, Total Cost: 51749548, Elapsed Time: 24.116550 seconds
Temperature: 1588.978957, Total Cost: 52573162, Elapsed Time: 24.194678 seconds
Temperature: 1557.199378, Total Cost: 50448291, Elapsed Time: 24.261099 seconds
Temperature: 1526.055391, Total Cost: 50432904, Elapsed Time: 24.326030 seconds
Temperature: 1495.534283, Total Cost: 52069688, Elapsed Time: 24.400993 seconds
Temperature: 1465.623597, Total Cost: 49507646, Elapsed Time: 24.467136 seconds
Temperature: 1436.311125, Total Cost: 51749047, Elapsed Time: 24.474756 seconds
Temperature: 1407.584903, Total Cost: 49857304, Elapsed Time: 24.563395 seconds
Temperature: 1379.433205, Total Cost: 49857304, Elapsed Time: 24.637861 seconds
Temperature: 1351.844540, Total Cost: 50509748, Elapsed Time: 24.712313 seconds
Temperature: 1324.807650, Total Cost: 52603832, Elapsed Time: 24.784123 seconds
Temperature: 1298.311497, Total Cost: 51033405, Elapsed Time: 24.857427 seconds
Temperature: 1272.345267, Total Cost: 50448291, Elapsed Time: 24.925917 seconds
Temperature: 1246.898361, Total Cost: 52073162, Elapsed Time: 24.990673 seconds
Temperature: 1221.960394, Total Cost: 50742804, Elapsed Time: 25.064247 seconds
Temperature: 1197.521186, Total Cost: 52069688, Elapsed Time: 25.139208 seconds
Temperature: 1173.570763, Total Cost: 51773162, Elapsed Time: 25.205357 seconds
Temperature: 1150.099347, Total Cost: 51749047, Elapsed Time: 25.287693 seconds
Temperature: 1127.097360, Total Cost: 51749548, Elapsed Time: 25.376083 seconds
Temperature: 1104.555413, Total Cost: 50448411, Elapsed Time: 25.454424 seconds
Temperature: 1082.464305, Total Cost: 52069688, Elapsed Time: 25.542803 seconds
Temperature: 1060.815019, Total Cost: 50438746, Elapsed Time: 25.608953 seconds
Temperature: 1039.598718, Total Cost: 50643768, Elapsed Time: 25.673373 seconds
